time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2025-01-01 00:00,23500.208,16200.000,5900.000,13800.000,86,80,109
2025-01-01 00:15,23500.549,16200.000,5900.000,13800.000,156,146,104
2025-01-01 00:30,23500.802,16200.000,5900.000,13800.000,89,123,87
2025-01-01 00:45,23501.153,16200.000,5900.000,13800.000,150,159,122
2025-01-01 01:00,23501.379,16200.000,5900.000,13800.000,123,106,88
2025-01-01 01:15,23501.653,16200.000,5900.000,13800.000,101,100,106
2025-01-01 01:30,23502.064,16200.000,5900.000,13800.000,145,189,152
2025-01-01 01:45,23502.513,16200.000,5900.000,13800.000,191,174,174
2025-01-01 02:00,23502.949,16200.000,5900.000,13800.000,197,156,132
2025-01-01 02:15,23503.376,16200.000,5900.000,13800.000,163,155,152
2025-01-01 02:30,23503.782,16200.000,5900.000,13800.000,165,164,134
2025-01-01 02:45,23504.211,16200.000,5900.000,13800.000,154,188,168
2025-01-01 03:00,23504.653,16200.000,5900.000,13800.000,178,171,172
2025-01-01 03:15,23504.980,16200.000,5900.000,13800.000,163,163,101
2025-01-01 03:30,23505.266,16200.000,5900.000,13800.000,116,103,98
2025-01-01 03:45,23505.681,16200.000,5900.000,13800.000,158,186,155
2025-01-01 04:00,23506.181,16200.000,5900.000,13800.000,190,182,164
2025-01-01 04:15,23506.589,16200.000,5900.000,13800.000,170,180,147
2025-01-01 04:30,23507.105,16200.000,5900.000,13800.000,211,185,202
2025-01-01 04:45,23507.406,16200.000,5900.000,13800.000,155,148,117
2025-01-01 05:00,23507.768,16200.000,5900.000,13800.000,155,159,124
2025-01-01 05:15,23508.233,16200.000,5900.000,13800.000,208,169,182
2025-01-01 05:30,23508.665,16200.000,5900.000,13800.000,172,158,147
2025-01-01 05:45,23509.022,16200.000,5900.000,13800.000,170,140,139
2025-01-01 06:00,23509.382,16200.000,5900.000,13800.000,166,145,148
2025-01-01 06:15,23509.668,16200.000,5900.000,13800.000,110,134,134
2025-01-01 06:30,23510.092,16200.000,5900.000,13800.000,179,149,134
2025-01-01 06:45,23510.496,16200.000,5900.000,13800.000,160,156,124
2025-01-01 07:00,23510.496,16200.124,5900.000,13800.000,89,74,41
2025-01-01 07:15,23510.496,16200.234,5900.000,13800.000,80,68,68
2025-01-01 07:30,23510.496,16200.335,5900.000,13800.000,48,69,78
2025-01-01 07:45,23510.496,16200.408,5900.000,13800.000,67,66,44
2025-01-01 08:00,23510.496,16200.490,5900.000,13800.000,42,32,45
2025-01-01 08:15,23510.496,16200.564,5900.000,13800.004,25,29,67
2025-01-01 08:30,23510.496,16200.591,5900.000,13800.034,30,13,40
2025-01-01 08:45,23510.496,16200.637,5900.000,13800.057,23,61,49
2025-01-01 09:00,23510.496,16200.638,5900.000,13800.104,26,12,6
2025-01-01 09:15,23510.496,16200.652,5900.000,13800.145,33,50,7
2025-01-01 09:30,23510.496,16200.664,5900.000,13800.200,29,50,24
2025-01-01 09:45,23510.496,16200.664,5900.000,13800.278,34,28,8
2025-01-01 10:00,23510.496,16200.664,5900.000,13800.349,4,28,35
2025-01-01 10:15,23510.496,16200.674,5900.000,13800.412,3,8,50
2025-01-01 10:30,23510.496,16200.674,5900.000,13800.512,13,25,3
2025-01-01 10:45,23510.496,16200.674,5900.000,13800.593,50,50,29
2025-01-01 11:00,23510.496,16200.691,5900.000,13800.671,55,40,47
2025-01-01 11:15,23510.496,16200.691,5900.000,13800.773,3,37,47
2025-01-01 11:30,23510.496,16200.717,5900.000,13800.853,46,39,39
2025-01-01 11:45,23510.496,16200.717,5900.000,13800.952,32,5,11
2025-01-01 12:00,23510.496,16200.727,5900.000,13801.032,28,10,39
2025-01-01 12:15,23510.496,16200.795,5900.000,13801.098,49,65,57
2025-01-01 12:30,23510.496,16200.828,5900.000,13801.179,53,56,29
2025-01-01 12:45,23510.496,16200.900,5900.000,13801.242,44,54,41
2025-01-01 13:00,23510.496,16201.016,5900.000,13801.304,79,76,40
2025-01-01 13:15,23510.496,16201.098,5900.000,13801.352,50,32,39
2025-01-01 13:30,23510.496,16201.169,5900.000,13801.409,70,44,60
2025-01-01 13:45,23510.496,16201.313,5900.000,13801.455,92,85,62
2025-01-01 14:00,23510.496,16201.376,5900.000,13801.518,37,28,24
2025-01-01 14:15,23510.496,16201.464,5900.000,13801.561,43,75,47
2025-01-01 14:30,23510.496,16201.649,5900.000,13801.563,95,80,58
2025-01-01 14:45,23510.496,16201.814,5900.000,13801.564,57,78,98
2025-01-01 15:00,23510.496,16202.033,5900.000,13801.564,104,111,110
2025-01-01 15:15,23510.496,16202.139,5900.000,13801.574,81,46,65
2025-01-01 15:30,23510.496,16202.289,5900.000,13801.574,79,60,46
2025-01-01 15:45,23510.496,16202.481,5900.000,13801.574,69,89,70
2025-01-01 16:00,23510.496,16202.644,5900.000,13801.574,91,82,87
2025-01-01 16:15,23510.496,16202.821,5900.000,13801.574,71,72,79
2025-01-01 16:30,23510.496,16202.975,5900.000,13801.574,79,95,93
2025-01-01 16:45,23510.496,16203.083,5900.000,13801.574,43,61,34
2025-01-01 17:00,23510.496,16203.182,5900.000,13801.574,63,56,48
2025-01-01 17:15,23510.496,16203.318,5900.000,13801.574,89,59,65
2025-01-01 17:30,23510.496,16203.445,5900.000,13801.574,61,66,79
2025-01-01 17:45,23510.496,16203.553,5900.000,13801.574,58,38,39
2025-01-01 18:00,23510.496,16203.631,5900.000,13801.574,43,29,29
2025-01-01 18:15,23510.496,16203.710,5900.000,13801.574,54,65,55
2025-01-01 18:30,23510.496,16203.812,5900.000,13801.574,37,80,57
2025-01-01 18:45,23510.496,16203.914,5900.000,13801.574,81,82,77
2025-01-01 19:00,23510.496,16203.987,5900.000,13801.574,67,46,61
2025-01-01 19:15,23510.496,16204.085,5900.000,13801.574,53,66,48
2025-01-01 19:30,23510.496,16204.159,5900.000,13801.574,61,34,34
2025-01-01 19:45,23510.496,16204.269,5900.000,13801.574,49,77,68
2025-01-01 20:00,23510.496,16204.363,5900.000,13801.574,50,45,55
2025-01-01 20:15,23510.496,16204.466,5900.000,13801.574,64,64,74
2025-01-01 20:30,23510.496,16204.570,5900.000,13801.574,86,83,40
2025-01-01 20:45,23510.496,16204.668,5900.000,13801.574,73,55,34
2025-01-01 21:00,23510.496,16204.807,5900.000,13801.574,62,60,50
2025-01-01 21:15,23510.496,16204.918,5900.000,13801.574,87,42,62
2025-01-01 21:30,23510.496,16205.069,5900.000,13801.574,96,76,76
2025-01-01 21:45,23510.496,16205.187,5900.000,13801.574,89,90,41
2025-01-01 22:00,23510.496,16205.319,5900.000,13801.574,90,79,68
2025-01-01 22:15,23510.496,16205.631,5900.000,13801.574,138,117,122
2025-01-01 22:30,23510.496,16206.116,5900.000,13801.574,217,197,184
2025-01-01 22:45,23510.496,16206.588,5900.000,13801.574,200,193,151
2025-01-01 23:00,23510.879,16206.588,5900.000,13801.574,148,173,131
2025-01-01 23:15,23511.277,16206.588,5900.000,13801.574,156,167,123
2025-01-01 23:30,23511.611,16206.588,5900.000,13801.574,150,121,108
2025-01-01 23:45,23511.982,16206.588,5900.000,13801.574,142,133,137
2025-01-02 00:00,23512.281,16206.588,5900.000,13801.574,117,130,113
2025-01-02 00:15,23512.594,16206.588,5900.000,13801.574,157,145,117
2025-01-02 00:30,23512.979,16206.588,5900.000,13801.574,158,160,149
2025-01-02 00:45,23513.301,16206.588,5900.000,13801.574,126,143,110
2025-01-02 01:00,23513.620,16206.588,5900.000,13801.574,153,154,120
2025-01-02 01:15,23514.018,16206.588,5900.000,13801.574,178,173,120
2025-01-02 01:30,23514.376,16206.588,5900.000,13801.574,130,166,134
2025-01-02 01:45,23514.718,16206.588,5900.000,13801.574,143,139,115
2025-01-02 02:00,23515.041,16206.588,5900.000,13801.574,130,161,123
2025-01-02 02:15,23515.317,16206.588,5900.000,13801.574,130,99,104
2025-01-02 02:30,23515.595,16206.588,5900.000,13801.574,99,145,84
2025-01-02 02:45,23515.908,16206.588,5900.000,13801.574,118,124,102
2025-01-02 03:00,23516.207,16206.588,5900.000,13801.574,133,148,105
2025-01-02 03:15,23516.522,16206.588,5900.000,13801.574,157,155,101
2025-01-02 03:30,23516.839,16206.588,5900.000,13801.574,147,111,114
2025-01-02 03:45,23517.336,16206.588,5900.000,13801.574,218,185,153
2025-01-02 04:00,23517.815,16206.588,5900.000,13801.574,211,216,162
2025-01-02 04:15,23518.238,16206.588,5900.000,13801.574,184,198,128
2025-01-02 04:30,23518.618,16206.588,5900.000,13801.574,165,174,135
